State,SAT_P,SAT_RW,SAT_M,SAT_T,ACT_P,ACT_E,ACT_M,ACT_R,ACT_S,ACT_C,t_switch,HI_P_T,HI_P_M
Oregon,43,-0.1996554787332567,-0.18660080303445567,-0.19566545277649644,40,0.1141309682783737,0.1602667722715635,0.18685241538031372,0.20701687169811755,0.1387602641498107,1,-0.19566545277649644,-0.18660080303445567
California,53,-0.8346887110912921,-0.6952853974980971,-0.7686705652953182,31,0.6664582089248086,0.7657190230752564,0.5254631376684912,0.3641278903975815,0.6336395279008762,1,-0.7686705652953182,-0.6952853974980971
Vermont,60,-0.15586008339821977,-0.12301522872650049,-0.13079694947247889,29,1.0063518954764608,0.967536440009822,1.1543116219179599,0.6783499277965094,1.029542938901729,1,-0.13079694947247889,-0.12301522872650049
Georgia,61,-0.7470979204212183,-0.8860421204219627,-0.8227276513819994,55,0.029157546640460996,-0.14245935313028385,-0.00663942592721482,0.08132805673854686,-0.05919144135061655,1,-0.8227276513819994,-0.8860421204219627
Arizona,30,-0.13396238573070132,-0.08062484585453036,-0.10917411503780636,62,-0.9905235130144945,-0.697457249700335,-0.925725672137978,-0.39000499935984495,-0.9004861897274276,0,-0.9004861897274276,-0.697457249700335
Texas,62,-1.2288472691066243,-1.0556036519098433,-1.1470701679020872,45,-0.6081431156438866,-0.24336806159756572,-0.4419960688691549,-0.044360758221024955,-0.40560692597636205,1,-1.1470701679020872,-1.0556036519098433
Indiana,63,-0.593814036748589,-0.5257238660102167,-0.5632536381659292,35,0.454024654830026,0.6143559603743327,0.5738360979953725,0.3955500941374747,0.5346636751506635,1,-0.5632536381659292,-0.5257238660102167
Washington,64,-0.6157117344161075,-0.48333348313824653,-0.552442220948593,29,-0.01332916417849611,0.3620841892061272,0.041733534399668176,0.30128348291779616,0.1882481905249162,1,-0.552442220948593,-0.48333348313824653
Alaska,38,-0.4843255484109967,-0.5045286745742316,-0.4983851348619117,65,-0.9480368021955389,-0.697457249700335,-0.7806067911573324,-0.3585827956199528,-0.8509982633523203,0,-0.8509982633523203,-0.697457249700335
Pennsylvania,65,-0.6376094320836259,-0.5469190574462017,-0.5956878898179381,23,1.0488386062954165,1.1188995027107438,1.0575657012641955,0.7097721315364026,1.0790308652768343,1,-0.5956878898179381,-0.5469190574462017
Virginia,65,-0.17775778106573822,-0.3349671430863511,-0.260533956080514,29,1.0913253171143735,1.0684451484771038,1.2510575425717259,0.772616539016188,1.1285187916519417,1,-0.260533956080514,-0.3349671430863511
New Mexico,11,0.17260538161455713,0.08893668563335012,0.12867706374359134,66,-0.9905235130144945,-0.8992746666349004,-0.7806067911573324,-0.3271605918800596,-0.9004861897274276,0,-0.9004861897274276,-0.8992746666349004
Iowa,2,1.5740580323357385,1.6573808518962447,1.609841222518659,67,0.1141309682783737,0.05935806380428165,0.2835983360340797,0.3327056866576894,0.1882481905249162,0,0.1882481905249162,0.05935806380428165
New York,67,-0.9003818040938474,-0.7164805889340822,-0.8011048169473269,31,1.2187854495712434,1.4216256281125912,1.2510575425717259,0.8983053539757586,1.326470497152367,1,-0.8011048169473269,-0.7164805889340822
Maryland,69,-0.7252002227536998,-0.7800661632420374,-0.7146134792086369,28,1.0063518954764608,0.967536440009822,1.0575657012641955,-5.888890653841083,1.029542938901729,1,-0.7146134792086369,-0.7800661632420374
West Virginia,14,-0.2434508740682936,-0.6105046317541569,-0.43351663155789416,69,-0.395709561549104,-0.8992746666349004,-0.3936231085422736,-0.17004957318059566,-0.554070705101682,0,-0.554070705101682,-0.8992746666349004
New Jersey,70,-0.8565864087588105,-0.652895014626127,-0.7578591480779819,34,1.2187854495712434,1.3207169196453092,1.0091927409373143,0.6783499277965094,1.1780067180270473,1,-0.7578591480779819,-0.652895014626127
Rhode Island,71,-0.6595071297511443,-0.6952853974980971,-0.6929906447739643,21,1.3037588712091561,1.0684451484771038,1.299430502898607,0.7411943352762947,1.2274946444021544,1,-0.6929906447739643,-0.6952853974980971
Kansas,4,1.3769787533280724,1.5090145118443492,1.447669964258615,73,0.0716442574594181,0.05935806380428165,0.13847945505343245,0.20701687169811755,0.08927233777470345,0,0.08927233777470345,0.05935806380428165
Ohio,12,0.19450307928207558,0.2796934085572157,0.2476026531342902,75,0.1141309682783737,0.21072112650520533,0.2352253757071967,0.30128348291779616,0.23773611690002344,0,0.23773611690002344,0.21072112650520533
Massachusetts,76,-0.309143967070849,-0.12301522872650049,-0.2064768699938327,29,1.8985728226745464,2.0775322331499257,1.8799060268211945,1.1496829838949012,1.9203256136536453,1,-0.2064768699938327,-0.12301522872650049
South Dakota,3,0.9390247999777033,0.9791347259447227,0.9719676066958196,80,-0.09830258581640881,0.1602667722715635,0.13847945505343245,0.30128348291779616,0.1387602641498107,0,0.1387602641498107,0.1602667722715635
Florida,83,-1.0755633854339952,-1.2675555662696938,-1.179504419554096,73,-0.820576669738669,-0.8992746666349004,-0.49036902919603786,-0.5156938143194167,-0.8509982633523203,1,-1.179504419554096,-1.2675555662696938
Nebraska,3,1.311285660325517,1.445428937536394,1.3719900437372612,84,-0.01332916417849611,-0.14245935313028385,-0.055012386254097816,0.1441724642183322,-0.05919144135061655,0,-0.05919144135061655,-0.14245935313028385
Hawaii,55,-0.5500186414135521,-0.3349671430863511,-0.4443280487752304,90,-1.3304171995661467,-1.0001833751021822,-1.3610823150799196,-0.5471160180593089,-1.2469016743531731,0,-1.2469016743531731,-1.0001833751021822
Idaho,93,-1.2288472691066243,-1.3523363320136341,-1.3092414261621312,38,0.4115379440110689,0.3116298349724872,0.47709017734160825,0.3327056866576894,0.38619989602534344,1,-1.3092414261621312,-1.3523363320136341
Illinois,9,-0.22155317640077515,-0.017039271546575186,-0.11998553225514262,93,0.029157546640460996,0.008903709570639828,-0.20013126723474337,0.08132805673854686,-0.05919144135061655,0,-0.05919144135061655,0.008903709570639828
Maine,95,-1.2288472691066243,-1.2251651833977237,-1.2335615056407774,8,1.3887322928470687,1.4216256281125912,1.34780346322549,0.8354609464959734,1.3759584235274744,1,-1.2335615056407774,-1.2251651833977237
New Hampshire,96,-0.8127910134237736,-0.7800661632420374,-0.8011048169473269,18,1.8985728226745464,1.976623524682644,1.9282789871480774,1.2125273913746866,1.9698135400287526,1,-0.8011048169473269,-0.7800661632420374
North Dakota,2,1.4426718463306278,1.360648171792454,1.40442429538927,98,-0.820576669738669,-0.3947311242984894,-0.7322338308304494,-0.13862736944070242,-0.6035586314767876,0,-0.6035586314767876,-0.3947311242984894
Alabama,5,0.5229685442948525,0.3220837914291858,0.42058532861167036,100,-0.8630633805576261,-1.4038182089713116,-1.1192175134455082,-0.5156938143194167,-1.1479258216029602,0,-1.1479258216029602,-1.4038182089713116
Arkansas,3,0.9828201953127401,0.7883780030208571,0.8854762689571295,100,-0.8630633805576261,-1.1010920835694642,-1.1192175134455082,-0.4842716105795235,-1.0489499688527475,0,-1.0489499688527475,-1.1010920835694642
Colorado,11,0.8076386139725925,0.8095731944568422,0.8097963484357756,100,-0.3532228507301469,-0.4451854785321294,-0.3936231085422736,-0.044360758221024955,-0.35611899960125476,0,-0.35611899960125476,-0.4451854785321294
Connecticut,100,-0.8565864087588105,-0.9496276947299179,-0.9200304063380258,31,1.9410595334935035,1.7243517535144386,1.7347871458405488,1.118260780155009,1.8213497609034326,1,-0.9200304063380258,-0.9496276947299179
Delaware,100,-1.447824245781809,-1.373531523449619,-1.4065441811181574,18,1.3462455820281132,1.1188995027107438,1.34780346322549,0.8040387427560812,1.2769825707772617,1,-1.4065441811181574,-1.373531523449619
District of Columbia,100,-1.9076758967996965,-1.8822161179132606,-1.9038693731156253,32,1.4737057144849814,1.1693538569443855,1.3961764235523713,0.772616539016188,1.326470497152367,1,-1.9038693731156253,-1.8822161179132606
Kentucky,4,1.355081055660554,1.2546722146125284,1.3071215404332437,100,-0.5656564048249294,-0.8992746666349004,-0.7322338308304494,-0.29573838814016634,-0.7520224106021075,0,-0.7520224106021075,-0.8992746666349004
Louisiana,4,0.9171271023101848,0.6188164715329767,0.7773620967837669,100,-0.6506298264628436,-1.202000792036746,-1.0708445531186253,-0.4528494068396303,-0.9994620424776403,0,-0.9994620424776403,-1.202000792036746
Michigan,100,-1.3164380597766983,-1.3099459491416638,-1.3092414261621312,29,1.3462455820281132,1.2702625654116675,1.2026845822448429,0.8668831502358666,1.2769825707772617,1,-1.3092414261621312,-1.3099459491416638
Minnesota,3,1.639751125338294,1.9965039148720056,1.8260695668653841,100,-0.22576271827327862,0.1602667722715635,-0.10338534658097909,0.17559466795822545,-0.009703514975509295,0,-0.009703514975509295,0.1602667722715635
Mississippi,2,1.4207741486631094,1.0639154916886628,1.2530644543465623,100,-1.1604703562903214,-1.5551812716722333,-1.5545741563874482,-0.7042270367587729,-1.4448533798535985,0,-1.4448533798535985,-1.5551812716722333
Missouri,3,1.5521603346682202,1.5726000861523044,1.566595553649314,100,-0.48068298318701674,-0.6470028954666949,-0.5871149498498022,-0.17004957318059566,-0.554070705101682,0,-0.554070705101682,-0.6470028954666949
Montana,10,0.785740916305074,0.724792428712902,0.7557392623490944,100,-0.820576669738669,-0.4956398327657712,-0.49036902919603786,-0.17004957318059566,-0.6035586314767876,0,-0.6035586314767876,-0.4956398327657712
Nevada,26,-0.13396238573070132,-0.08062484585453036,-0.10917411503780636,100,-1.9677178618504942,-1.6056356259058753,-1.893184878675624,-0.89276025919813,-1.8407567908544513,0,-1.8407567908544513,-1.6056356259058753
North Carolina,49,-0.5062232460785151,-0.46213829170226145,-0.4875737176445754,100,-1.3304171995661467,-0.9497290208685405,-1.1675904737723894,-0.5471160180593089,-1.1974137479780658,0,-1.1974137479780658,-0.9497290208685405
Oklahoma,7,-0.8565864087588105,-0.8436517375499926,-0.8551619030340083,100,-1.0330102238334515,-1.202000792036746,-0.925725672137978,-0.4528494068396303,-1.0489499688527475,0,-1.0489499688527475,-1.202000792036746
South Carolina,50,-0.5719163390810705,-0.7588709718060523,-0.6713678103392918,100,-1.4578773320230165,-1.3029095005040279,-1.409455275406801,-0.6728048330188807,-1.395365453478493,0,-1.395365453478493,-1.3029095005040279
Tennessee,5,1.1798994743204063,1.0003299173807076,1.1017046133038546,100,-0.6081431156438866,-1.0001833751021822,-0.925725672137978,-0.3585827956199528,-0.8509982633523203,0,-0.8509982633523203,-1.0001833751021822
Utah,3,1.2017971719879248,1.2122818317405584,1.2098187854772173,100,-0.6081431156438866,-0.6470028954666949,-0.5871149498498022,-0.13862736944070242,-0.6035586314767876,0,-0.6035586314767876,-0.6470028954666949
Wisconsin,3,1.595955730003257,1.9541135320000356,1.7828238979960391,100,-0.5231696940059738,-0.3947311242984894,-0.6838608705035664,-0.044360758221024955,-0.5045827787265748,0,-0.5045827787265748,-0.3947311242984894
Wyoming,3,1.2455925673229618,1.0003299173807076,1.123327447738527,100,-0.6506298264628436,-0.697457249700335,-0.5871149498498022,-0.13862736944070242,-0.6530465578518948,0,-0.6530465578518948,-0.697457249700335
